id,name,host_id,host_name,price
1353804,Rental unit in Málaga · ★3.50 · 4 bedrooms · 6 beds · 2 baths,6525225,Jose,80.0
1359353,Rental unit in Málaga · ★4.86 · 4 bedrooms · 5 beds · 2 baths,7378338,Mercedes,196.0
1378908,Rental unit in Málaga · ★4.77 · Studio · 1 bed · 1 bath,5895070,Arantxa & George,55.0
1437839,Rental unit in Málaga · ★4.72 · 1 bedroom · 3 beds · 1 bath,7723499,Jesus,93.0
1449651,Rental unit in Málaga · ★4.93 · 2 bedrooms · 2 beds · 2 baths,7779962,Isabel,172.0
1498773,Rental unit in Málaga · ★4.65 · 1 bedroom · 6 beds · 1.5 baths,191241874,Carmen,75.0
1514156,Guest suite in Málaga · ★4.81 · Studio · 1 bed · 1 bath,8083402,Regina,78.0
1534533,Rental unit in Málaga · ★4.82 · 1 bedroom · 1 bed · 1 bath,4921828,Laura,91.0
1596526,Rental unit in Málaga · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,6380806,Enky,39.0
1597241,Rental unit in Málaga · ★4.91 · 2 bedrooms · 2 beds · 1 bath,6818242,Nadine,132.0
1603598,Rental unit in Málaga · ★4.70 · Studio · 2 beds · 1 bath,8544512,Malaga Center Flat,90.0
1640548,Rental unit in Málaga · ★4.54 · Studio · 1 bed · 1 bath,8710574,Liam,90.0
1699106,Rental unit in Málaga · ★4.57 · 1 bedroom · 1 bed · 1 bath,11420357,Nadia,79.0
1757994,Loft in Málaga · ★4.63 · 1 bedroom · 4 beds · 1 bath,8217784,Francisco,121.0
1825432,Rental unit in Málaga · ★4.50 · 1 bedroom · 2 beds · 1 bath,9552973,Eugenio,85.0
1895284,Cottage in Málaga · ★4.96 · 3 bedrooms · 4 beds · 2 baths,9848032,Riny,260.0
1947485,Rental unit in Málaga · ★4.87 · Studio · 2 beds · 1 bath,10071753,Javier,54.0
1951589,Rental unit in Málaga · ★4.62 · 2 bedrooms · 3 beds · 1 bath,10070230,Rodrigo,184.0
1966333,Rental unit in Málaga · ★4.60 · 1 bedroom · 4 beds · 2 shared baths,793360,Fred,19.0
2138517,Cottage in Málaga · ★4.75 · 1 bedroom · 1 bath,9725526,Isabel,69.0
2145149,Rental unit in Málaga · ★4.70 · 1 bedroom · 4 beds · 2 baths,793360,Fred,19.0
2163893,Rental unit in Málaga · ★4.59 · 1 bedroom · 2 beds · 1 bath,9744958,Ana,80.0
2206087,Rental unit in Málaga · ★4.66 · 2 bedrooms · 4 beds · 1 bath,10163833,Veronica Y Laurent,77.0
2217020,Rental unit in Málaga · ★4.46 · 1 bedroom · 1 bed · 1 bath,2426898,Inmaculada,95.0
2275180,Loft in Málaga · ★4.58 · 1 bedroom · 2 beds · 1 bath,11074808,Maria & Arturo,58.0
2288248,Rental unit in Málaga · ★4.81 · 2 bedrooms · 4 beds · 1 bath,11689519,Valentina E Lorenzo,110.0
2306037,Loft in Málaga · ★4.84 · Studio · 2 beds · 1 bath,11778619,Arantxa,61.0
2327541,Rental unit in Málaga · ★4.64 · 2 bedrooms · 3 beds · 1 bath,3376700,Freshlanding,180.0
2336145,Rental unit in Málaga · ★4.77 · 1 bedroom · 2 beds · 1 bath,11931754,Frédéric C,59.0
2343063,Rental unit in Málaga · ★4.80 · Studio · 1 bed · 1 bath,11931754,Frédéric C,49.0
2345165,Townhouse in Málaga · ★4.42 · 1 bedroom · 3 beds · 3 shared baths,5490522,Fali,33.0
2345504,Townhouse in Málaga · ★4.39 · 1 bedroom · 1 bed · 3 shared baths,5490522,Fali,31.0
2376792,Townhouse in Málaga · ★4.25 · 6 bedrooms · 14 beds · 3 baths,5490522,Fali,307.0
2379888,Townhouse in Málaga · ★4.48 · 1 bedroom · 1 bed · 3 shared baths,5490522,Fali,31.0
2380070,Townhouse in Málaga · ★4.43 · 1 bedroom · 3 beds · 3 shared baths,5490522,Fali,31.0
2380142,Townhouse in Málaga · ★4.41 · 1 bedroom · 1 bed · 3 shared baths,5490522,Fali,31.0
2386623,Rental unit in Málaga · ★4.58 · Studio · 1 bed · 1.5 baths,12191066,Javier,500.0
2390532,Rental unit in Málaga · ★4.90 · 4 bedrooms · 7 beds · 2 baths,12202265,Rafael,270.0
2445809,Cottage in Málaga · ★4.81 · 2 bedrooms · 3 beds · 1 bath,12505395,Juan Carlos,90.0
2457257,Rental unit in Málaga · ★4.91 · 2 bedrooms · 4 beds · 1 bath,10010991,Eva,211.0
2474715,Rental unit in Málaga · ★4.49 · Studio · 2 beds · 1 bath,8544512,Malaga Center Flat,78.0
